age,attrition,businesstravel,dailyrate,department,distancefromhome,education,educationfield,employeecount,employeenumber,environmentsatisfaction,gender,hourlyrate,jobinvolvement,joblevel,jobrole,jobsatisfaction,maritalstatus,monthlyincome,monthlyrate,numcompaniesworked,over18,overtime,percentsalaryhike,performancerating,relationshipsatisfaction,standardhours,stockoptionlevel,totalworkingyears,trainingtimeslastyear,worklifebalance,yearsatcompany,yearsincurrentrole,yearssincelastpromotion,yearswithcurrmanager,sameasmonthlyincome,datebirth,salary,roledepartament,numberchildren,remotework
51,no,,2015.72,,6,3,,1,1,1,0,,3,5, research director ,3,,16280.83,42330.17,7,y,no,13,3.0,3,full time,0,,5,3.0,20,,15,15,16280.83,1972,195370.0,,,yes
52,no,,2063.39,,1,4,life sciences,1,2,3,0,,2,5, manager ,3,,,43331.17,0,,,14,3.0,1,,1,34.0,5,3.0,33,,11,9,,1971,199990.0,,,1
42,no,travel_rarely,1984.25, research & development ,4,2,technical degree,1,3,3,0,,3,5, manager ,4,married,,41669.33,1,,no,11,3.0,4,,0,22.0,3,,22,,11,15,,1981,192320.0, manager  -  research & development ,,1
47,no,travel_rarely,1771.4,,2,4,medical,1,4,1,1,,3,4, research director ,3,married,14307.5,37199.5,3,y,,19,3.0,2,full time,2,,2,,20,,5,6,14307.5,1976,171690.0,,,false
46,no,,1582.77,,3,3,technical degree,1,5,1,1,,4,4, sales executive ,1,divorced,12783.92,33238.2,2,y,no,12,3.0,4,,1,,5,3.0,19,,2,8,12783.92,1977,,,,0
48,no,,1771.92, research & development ,22,3,medical,1,6,4,1,,3,4, manager ,4,,14311.67,37210.33,3,,no,11,3.0,2,,1,,3,3.0,22,,4,7,14311.67,1975,, manager  -  research & development ,,yes
59,no,,1032.49,,25,3,life sciences,1,7,1,1,,3,3, sales executive ,1,,8339.32,21682.23,7,y,,11,3.0,4,part time,0,28.0,3,2.0,21,,7,9,8339.32,1964,100071.84,,,true
42,no,travel_rarely,556.26,,1,1,,1,8,2,0,69.53,3,2, sales executive ,3,married,,11681.39,1,,no,25,4.0,3,part time,0,20.0,3,3.0,20,,11,6,,1981,53914.11,,,0
41,no,,1712.18,,2,5,,1,9,2,1,,3,4, manager ,1,married,13829.17,35955.83,7,,no,16,3.0,2,full time,1,22.0,2,3.0,18,,11,8,13829.17,1982,165950.0,,,true
41,no,travel_frequently,1973.98,,9,3,,1,10,1,0,,3,5, research director ,3,,15943.72,41453.67,2,,no,17,3.0,2,,1,21.0,2,4.0,18,,0,11,15943.72,1982,,,,0
