age,attrition,businesstravel,dailyrate,department,distancefromhome,education,educationfield,employeenumber,environmentsatisfaction,gender,hourlyrate,jobinvolvement,joblevel,jobrole,jobsatisfaction,maritalstatus,monthlyincome,monthlyrate,numcompaniesworked,overtime,percentsalaryhike,performancerating,relationshipsatisfaction,standardhours,stockoptionlevel,totalworkingyears,trainingtimeslastyear,worklifebalance,yearsatcompany,yearssincelastpromotion,yearswithcurrmanager,datebirth,salary,remotework
51,no,non-travel,2015.72,research & development,6,3,,1,1,m,251.965,3,5,research director,3,unknown,16280.83,42330.17,7,no,13,3.0,3,full time,0,,5,3.0,20,15,15,1972,195370.0,yes
52,no,non-travel,2063.39,unknown,1,4,life sciences,2,3,m,257.92375,2,5,manager,3,unknown,16665.833333333332,43331.17,0,unknown,14,3.0,1,full time,1,34.0,5,3.0,33,11,9,1971,199990.0,1
42,no,travel_rarely,1984.25,unknown,4,2,technical degree,3,3,m,248.03125,3,5,manager,4,married,16026.666666666666,41669.33,1,no,11,3.0,4,full time,0,22.0,3,,22,11,15,1981,192320.0,1
47,no,travel_rarely,1771.4,research & development,2,4,medical,4,1,f,221.425,3,4,research director,3,married,14307.5,37199.5,3,unknown,19,3.0,2,full time,2,,2,,20,5,6,1976,171690.0,false
46,no,non-travel,1582.77,sales,3,3,technical degree,5,1,f,197.84625,4,4,sales executive,1,divorced,12783.92,33238.2,2,no,12,3.0,4,full time,1,,5,3.0,19,2,8,1977,153407.04,0
48,no,non-travel,1771.92,unknown,22,3,medical,6,4,f,221.49,3,4,manager,4,unknown,14311.67,37210.33,3,no,11,3.0,2,full time,1,,3,3.0,22,4,7,1975,171740.04,yes
59,no,non-travel,1032.49,sales,25,3,life sciences,7,1,f,129.06125,3,3,sales executive,1,unknown,8339.32,21682.23,7,unknown,11,3.0,4,part time,0,28.0,3,2.0,21,7,9,1964,100071.84,true
42,no,travel_rarely,556.26,sales,1,1,,8,2,m,69.53,3,2,sales executive,3,married,4492.8425,11681.39,1,no,25,4.0,3,part time,0,20.0,3,3.0,20,11,6,1981,53914.11,0
41,no,non-travel,1712.18,unknown,2,5,,9,2,f,214.0225,3,4,manager,1,married,13829.17,35955.83,7,no,16,3.0,2,full time,1,22.0,2,3.0,18,11,8,1982,165950.0,true
41,no,travel_frequently,1973.98,research & development,9,3,,10,1,m,246.7475,3,5,research director,3,unknown,15943.72,41453.67,2,no,17,3.0,2,full time,1,21.0,2,4.0,18,0,11,1982,191324.63999999998,0
41,no,non-travel,2060.71,research & development,7,1,,11,2,f,257.58875,1,5,research director,3,unknown,16644.17,43274.83,1,no,22,4.0,2,full time,2,,3,3.0,21,5,10,1982,199730.0,0
56,no,travel_rarely,1382.75,research & development,23,3,life sciences,12,4,m,172.84,3,4,manufacturing director,2,married,11168.333333333334,29037.67,4,yes,12,,1,full time,1,33.0,0,3.0,19,15,9,1967,134020.0,false
38,no,non-travel,1362.52,research & development,10,3,medical,13,2,f,170.315,1,3,research director,3,married,11005.0,28613.0,3,no,12,3.0,1,full time,1,,3,3.0,18,1,11,1985,132060.0,1
41,yes,travel_rarely,2016.55,research & development,12,3,,14,2,f,252.06875,3,5,research director,3,married,16287.5,42347.5,1,no,12,3.0,4,full time,0,,0,3.0,22,15,8,1982,195450.0,false
55,no,non-travel,1973.98,research & development,14,4,medical,15,3,m,246.7475,4,5,research director,2,single,15943.72,41453.67,8,no,11,3.0,4,full time,0,,3,3.0,24,2,15,1968,191324.63999999998,true
40,no,travel_rarely,1861.37,unknown,2,4,,16,3,f,232.67125,3,5,manager,3,unknown,15034.17,39088.83,0,no,14,3.0,4,full time,0,,2,3.0,20,1,12,1983,180410.0,0
58,yes,travel_rarely,1985.7,research & development,2,4,,17,4,m,248.2125,3,5,research director,2,single,16038.33,41699.67,7,yes,12,3.0,4,full time,0,40.0,2,3.0,31,13,8,1965,192460.0,0
46,no,travel_rarely,1582.77,unknown,2,3,,18,3,f,197.84625,3,4,manager,1,unknown,12783.92,33238.2,8,unknown,23,4.0,1,full time,0,28.0,2,3.0,26,15,9,1977,153407.04,false
35,no,non-travel,556.26,research & development,-13,5,life sciences,19,2,m,69.5325,4,2,research scientist,1,married,4492.84,11681.39,1,unknown,11,3.0,4,full time,0,,2,3.0,16,1,10,1988,53914.08,false
40,no,travel_rarely,1032.49,research & development,15,3,life sciences,20,1,f,129.06125,2,3,manufacturing director,3,unknown,8339.32,21682.23,1,unknown,13,3.0,4,full time,2,18.0,2,,18,14,12,1983,100071.84,true
45,no,non-travel,1108.92,research & development,1,1,,21,3,m,138.615,2,3,healthcare representative,3,unknown,8956.67,23287.33,3,unknown,23,4.0,4,full time,1,25.0,3,2.0,23,14,4,1978,107480.0,false
33,no,non-travel,1032.49,research & development,1,2,life sciences,22,1,f,129.06125,3,3,research director,4,single,8339.32,21682.23,1,yes,12,3.0,3,part time,0,15.0,1,3.0,15,8,12,1990,100071.84,true
36,no,non-travel,1032.49,research & development,8,3,,23,3,f,129.06125,3,3,healthcare representative,3,divorced,8339.32,21682.23,1,unknown,13,,2,full time,3,17.0,2,3.0,17,12,8,1987,100071.84,1
47,no,non-travel,1728.38,unknown,2,2,other,24,3,f,216.05,3,4,manager,4,married,13960.0,36296.0,1,unknown,11,3.0,3,full time,1,,3,2.0,26,3,0,1976,167520.0,false
36,no,travel_rarely,639.79,sales,-42,2,life sciences,25,42,m,79.97,3,2,sales executive,4,unknown,5167.5,13435.5,1,unknown,14,3.0,4,full time,1,18.0,1,,18,4,11,1987,62010.0,true
35,no,non-travel,1032.49,research & development,9,3,life sciences,26,4,f,129.06,2,3,manufacturing director,3,married,8339.32,21682.23,1,yes,20,4.0,2,part time,1,17.0,2,3.0,17,5,15,1988,100071.84,false
52,yes,non-travel,2047.5,unknown,2,1,,27,1,f,255.9375,1,5,manager,4,married,16537.5,42997.5,1,no,15,3.0,4,full time,1,33.0,3,3.0,32,6,9,1971,198450.0,1
36,no,non-travel,556.26,research & development,2,4,life sciences,28,3,f,69.5325,3,2,manufacturing director,2,single,4492.84,11681.39,9,yes,11,3.0,4,full time,0,18.0,2,3.0,16,5,12,1987,53914.11,0
33,no,travel_rarely,556.26,research & development,28,4,life sciences,29,2,m,69.53,3,2,laboratory technician,3,married,4492.84,11681.39,1,unknown,12,3.0,2,part time,1,15.0,3,3.0,15,5,7,1990,53914.11,yes
34,no,non-travel,412.8,sales,10,3,life sciences,30,4,m,51.6,3,2,sales executive,3,unknown,3334.17,8668.83,1,yes,14,3.0,3,part time,1,15.0,3,3.0,15,0,7,1989,40010.0,1
41,no,non-travel,1077.87,sales,-37,1,,31,37,f,134.73375,3,3,sales executive,3,divorced,8705.83,22635.17,0,unknown,13,3.0,4,full time,1,,3,4.0,22,13,5,1982,104470.0,yes
